Formatted to integers and sorted
Potential Changes needed:
 - Duplicate X's
 - Several X's evaluate to 1
 - Only a few low numbers evaluate to positive Y's
I think we can modify these somewhat for our final set.

training x	result Y
-456	-311252
-411	-252856
-318	-151512
-118	-20732
-109	-17806
-104	-16169
-92	-12716
-53	-4195
-39	-2330
-34	-1753
-28	-1133
-13	-233
-6	-51
-5	-40
-5	-40
-2	-5
-2	-5
0	3
1	3
1	2
1	1
2	-5
3	-11
5	-30
6	-56
7	-72
10	-134
16	-385
23	-820
31	-1460
52	-3997
66	-6628
68	-6929
72	-7823
94	-13344
97	-14107
242	-87576
265	-105463
289	-125412
290	-126460
581	-506890
584	-510768
811	-987675
865	-1122773
958	-1376579


Formatted to 2 decimals and sorted
training x	result Y
-455.53	-311252.03
-410.58	-252855.52
-317.82	-151511.69
-117.57	-20732.22
-108.96	-17805.58
-103.84	-16169.46
-92.09	-12716.15
-52.91	-4195.03
-39.44	-2330.17
-34.22	-1752.56
-27.53	-1133.16
-12.55	-232.76
-6.01	-50.59
-5.41	-40.40
-5.37	-39.79
-2.32	-4.60
-2.32	-4.55
-0.04	3.50
0.58	2.99
0.84	2.45
1.19	1.36
2.38	-4.98
3.10	-10.90
4.75	-30.34
6.29	-55.88
7.09	-71.86
9.56	-133.60
16.10	-385.21
23.43	-819.70
31.23	-1459.76
51.64	-3996.61
66.49	-6628.23
67.98	-6928.80
72.23	-7822.90
94.33	-13344.16
96.99	-14106.50
241.63	-87576.36
265.16	-105462.98
289.15	-125411.91
290.36	-126460.48
581.32	-506889.91
583.54	-510768.38
811.45	-987674.81
865.17	-1122773.40
957.98	-1376579.22


Raw Data from program random generation
6.291615470427314    -55.876637841580475
9.560209276821949    -133.59640212494867
1.1939484977323755    1.3617304771439054
7.088080473637753    -71.86132720114719
-0.04312478047807211    3.497210379963077
-5.409886000977815    -40.40029981536362
-6.005179040223321    -50.59326295770622
-5.372063669647877    -39.78860210612592
4.749831756776633    -30.341352576525694
0.8352684343115602    2.4534899639640724
-2.3160029852103814    -4.545804741255097
-2.32440349830473    -4.604277434396902
2.3782526817276795    -4.984128727217348
3.0980021055443974    -10.896425568936278
0.5849069201248347    2.9868258421851204
72.2329676391616    -7822.902420940251
94.3315313563442    -13344.156712049424
31.233096156337314    -1459.7594432665192
-27.527629543227363    -1133.155582403746
96.98797262141832    -14106.500249819486
-34.21560634595664    -1752.561576432202
-12.550281093006888    -232.76433327022923
16.097815528444826    -385.20949718175905
-52.905776457550814    -4195.031773864507
51.64046293020426    -3996.6061174687
66.491735784251    -6628.226391403969
-92.08564184002779    -12716.148149634815
67.98187205349453    -6928.802391846551
-39.443372634437424    -2330.1694671686305
23.426538620757942    -819.7040676247951
-103.83629588913368    -16169.46451596358
-108.96200075968498    -17805.576414330386
-317.8208996655021    -151511.68639628374
241.63314278998894    -87576.36354185078
865.169310646547    -1122773.4041269321
583.5362784206295    -510768.3823494977
289.1544161435753    -125411.91456299789
-117.5747123366957    -20732.219471585115
290.3606702844506    -126460.47827205312
957.9779819012444    -1376579.2207113714
-410.57603762471985    -252855.52400742302
265.1621836068232    -105462.97542270792
581.3165602633719    -506889.9148546578
-455.525728464057    -311252.0339390647
811.4506816763234    -987674.8131894548
